Location,Latitude,Longitude
Broughton Archipelago,50.78994,-126.91443
Calvert Island (Starfish Site),51.68028333,-128.1265167
Cracroft Island,50.5212,-126.56462
Juan Perez Sound,52.61663333,-131.43955
Ogden Point,48.413,-123.387
Quatsino,50.52061667,-127.6292
Rennell Sound,53.35513333,-132.5043333
Selwyn Inlet,52.93881667,-131.9049333
Seyour Inlet,51.10857,-127.52778
Tofino Sound,49.2482,-125.9384
Tolmie,52.71326667,-128.5782
Prince Rupert a,54.51248333,-130.0243056
Prince Rupert b,54.33638333,-130.2780667
Bamfield,48.8346,-125.1369
Beaver pass,53.8075,-130.4225
Bowen Island,49.40194444,-123.3794444
Coopers Green,49.504,-123.91
Cortes Island,50.153,-124.909
East Campania Island,53.2863,-129.4272
Engelfield,52.976,-132.3507
Higgins Pass,52.6336,-128.8641
Laredo Channel,52.7502,-129.2725
Louise Island,53.00095,-131.65095
"Morphee Island, Clayoquot Sound",49.22613333,-125.95805
Narvaez Island,49.62875,-126.5848833
Port Hardy Duval Point,50.8013,-127.8008
Powell River,49.859,-124.549
Principle Channel,53.689166,-130.1947
Queen Sound (h),51.9291,-128.865485
Queen Sound (j),51.9469,-128.2851167
Queen Sound (l),51.93453333,-128.2865333
Sooke/Otter Pt,48.36138889,-123.8038889
Tyee Cove,49.29,-124.141
Village Bay,50.16883333,-125.1736
